"Firms","Date","Analyst_Company","Opinions","Price"
"121","Abbott Laboratories","05/22/23","RBC Capital Markets","Maintained Sell","$95"
"122","Abbott Laboratories","04/26/23","RBC Capital Markets","Maintained Sell","$95"
"123","Abbott Laboratories","04/26/23","Morgan Stanley","Maintained Sell","$102"
"124","Abbott Laboratories","04/19/23","Morgan Stanley","Maintained Sell","$103"
"125","Abbott Laboratories","04/13/23","Wells Fargo & Co","Maintained Hold","$110"
"126","Abbott Laboratories","04/06/23","Barclays Capital","Maintained Sell","$103"
"127","Abbott Laboratories","03/30/23","RBC Capital Markets","Maintained Hold","$148"
"128","Abbott Laboratories","03/22/23","Barclays Capital","Maintained Sell","$105"
"129","Abbott Laboratories","01/26/23","Mizuho","Maintained Hold","$120"
"130","Abbott Laboratories","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"131","Abbott Laboratories","01/25/23","Barclays Capital","Maintained Sell","$122"
"132","Abbott Laboratories","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"133","Abbott Laboratories","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"134","Abbott Laboratories","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"135","Abbott Laboratories","10/26/22","Mizuho","Maintained Hold","$130"
"136","Abbott Laboratories","10/26/22","Morgan Stanley","Maintained Sell","$110"
"137","Abbott Laboratories","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"138","Abbott Laboratories","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"139","Abbott Laboratories","10/13/22","Deutsche Bank","Maintained Hold","$126"
"140","Abbott Laboratories","10/12/22","Morgan Stanley","Maintained Sell","$108"
"141","Abbott Laboratories","10/11/22","Goldman Sachs","Maintained Hold","$129"
"142","Abbott Laboratories","10/03/22","Barclays Capital","Maintained Sell","$130"
"143","Abbott Laboratories","09/09/22","UBS","Upgraded to Hold","$126"
"144","Abbott Laboratories","09/09/22","Deutsche Bank","Maintained Hold","$127"
"145","Abbott Laboratories","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"146","Abbott Laboratories","07/27/22","Credit Suisse","Maintained Hold","$160"
"147","Abbott Laboratories","07/27/22","Deutsche Bank","Maintained Hold","$148"
"148","Abbott Laboratories","07/27/22","Morgan Stanley","Maintained Sell","$131"
"149","Abbott Laboratories","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"150","Abbott Laboratories","07/27/22","Mizuho","Maintained Hold","$140"
"151","AbbVie Inc","10/25/23","J.P. Morgan","Maintained Hold","$105"
"152","AbbVie Inc","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"153","AbbVie Inc","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"154","AbbVie Inc","10/25/23","Barclays Capital","Maintained Sell","$98"
"155","AbbVie Inc","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"156","AbbVie Inc","09/15/23","HSBC","Maintained Sell","$109"
"157","AbbVie Inc","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"158","AbbVie Inc","08/29/23","Mizuho","Maintained Hold","$120"
"159","AbbVie Inc","08/29/23","Wolfe Research","Upgraded to Hold",""
"160","AbbVie Inc","07/26/23","Morgan Stanley","Maintained Sell","$102"
"161","AbbVie Inc","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"162","AbbVie Inc","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"163","AbbVie Inc","07/14/23","Morgan Stanley","Maintained Sell","$100"
